Year,Micro_ID,Field ID,Date,Sample,Depth,Management,Plant,Block
2012,micro-42,86,Jun-12,1-HI2,0-10cm,HighN,IntWheatgrass,2
2012,micro-43,101,Jun-12,1-OI3,0-10cm,Organic,IntWheatgrass,3
2012,micro-44,116,Jun-12,1-LI3,0-10cm,LowN,IntWheatgrass,3
2012,micro-45,131,Jun-12,1-HI3,0-10cm,HighN,IntWheatgrass,3
2012,micro-46,146,Jun-12,1-OI4,0-10cm,Organic,IntWheatgrass,4
2012,micro-47,161,Jun-12,1-LI4,0-10cm,LowN,IntWheatgrass,4
2012,micro-48,176,Jun-12,1-HI4,0-10cm,HighN,IntWheatgrass,4
2013,micro-49,1,Jun-13,1-OA1,0-10cm,Organic,Annual,1
2013,micro-50,11,Jun-13,1-LA1,0-10cm,LowN,Annual,1
2013,micro-51,21,Jun-13,1-HA1,0-10cm,HighN,Annual,1
2013,micro-52,31,Jun-13,1-OA2,0-10cm,Organic,Annual,2
2013,micro-53,41,Jun-13,1-LA2,0-10cm,LowN,Annual,2
2013,micro-54,51,Jun-13,1-HA2,0-10cm,HighN,Annual,2
2013,micro-55,61,Jun-13,1-OA3,0-10cm,Organic,Annual,3
2013,micro-56,71,Jun-13,1-LA3,0-10cm,LowN,Annual,3
2013,micro-57,81,Jun-13,1-HA3,0-10cm,HighN,Annual,3
2013,micro-58,91,Jun-13,1-OA4,0-10cm,Organic,Annual,4
2013,micro-59,101,Jun-13,1-LA4,0-10cm,LowN,Annual,4
2013,micro-60,111,Jun-13,1-HA4,0-10cm,HighN,Annual,4
2013,micro-61,6,Jun-13,1-OI1,0-10cm,Organic,IntWheatgrass,1
2013,micro-62,16,Jun-13,1-LI1,0-10cm,LowN,IntWheatgrass,1
2013,micro-63,26,Jun-13,1-HI1,0-10cm,HighN,IntWheatgrass,1
2013,micro-64,36,Jun-13,1-OI2,0-10cm,Organic,IntWheatgrass,2
2013,micro-65,46,Jun-13,1-LI2,0-10cm,LowN,IntWheatgrass,2
2013,micro-66,56,Jun-13,1-HI2,0-10cm,HighN,IntWheatgrass,2
2013,micro-67,66,Jun-13,1-OI3,0-10cm,Organic,IntWheatgrass,3
2013,micro-68,76,Jun-13,1-LI3,0-10cm,LowN,IntWheatgrass,3
2013,micro-69,86,Jun-13,1-HI3,0-10cm,HighN,IntWheatgrass,3
2013,micro-70,96,Jun-13,1-OI4,0-10cm,Organic,IntWheatgrass,4
2013,micro-71,106,Jun-13,1-LI4,0-10cm,LowN,IntWheatgrass,4
2013,micro-72,116,Jun-13,1-HI4,0-10cm,HighN,IntWheatgrass,4
