Year,Micro_ID,Field ID,Date,Sample,Depth,Management,Plant,Block,NAG,BG,PHOS,PHENOX,PEROX,NETPEROX,TAP,Soil.Moisture,NH4,NO3,InorganicN,C Min,POXC
2012,micro-26,16,12-Jun,1-LA1,0-10cm,LowN,Annual,1,43.999,118.327,129.904,0,5.452,6.273,2.599,12,3.14,0.75,3.89,64.18809954,280.06
2012,micro-27,31,12-Jun,1-HA1,0-10cm,HighN,Annual,1,45.335,120.899,65.378,0,8.669,11.627,1.508,10.5,2.96,1,3.96,61.48925322,250.23
2012,micro-28,46,12-Jun,1-OA2,0-10cm,Organic,Annual,2,33.4,116.316,73.084,0,6.186,6.432,5.064,7.6,2.73,0.34,3.07,83.71552346,257.2
2012,micro-29,61,12-Jun,1-LA2,0-10cm,LowN,Annual,2,52.082,162.684,209.165,0.205,4.916,4.711,6.568,10.1,3.75,2.34,6.09,50.93577012,280.04
2012,micro-30,76,12-Jun,1-HA2,0-10cm,HighN,Annual,2,39.899,150.83,50.239,0.234,6.868,6.634,2.586,8.6,3.04,0.44,3.48,68.96887127,280.99
2012,micro-31,91,12-Jun,1-OA3,0-10cm,Organic,Annual,3,25.082,94.841,66.821,0.25,7.394,7.144,17.089,11.3,2.17,0.3,2.47,71.83330877,211.04
2012,micro-32,106,12-Jun,1-LA3,0-10cm,LowN,Annual,3,25.468,116.327,167.001,0,7.439,7.673,32.127,6.8,3.34,0.1,3.44,82.82390665,230.14
2012,micro-33,121,12-Jun,1-HA3,0-10cm,HighN,Annual,3,31.709,120.95,179.235,0,0.133,0.57,10.853,6.7,4.53,1.03,5.56,39.50277159,249.95
2012,micro-34,136,12-Jun,1-OA4,0-10cm,Organic,Annual,4,85.594,200.95,213.445,2.229,5.899,3.671,9.296,10.9,5.4,0.91,6.31,119.4647138,368.08
2012,micro-35,151,12-Jun,1-LA4,0-10cm,LowN,Annual,4,29.223,125.904,358.486,0.819,1.094,0.275,5.344,8.4,3.14,1.11,4.25,71.59803871,208.98
2012,micro-36,166,12-Jun,1-HA4,0-10cm,HighN,Annual,4,50.164,176.529,224.824,0.743,2.791,2.048,10.441,6.8,3.35,0.97,4.32,93.3548043,285.16
2012,micro-37,11,12-Jun,1-OI1,0-10cm,Organic,IntWheatgrass,1,40.879,152.72,154.828,0,3.69,4.383,6.279,10.5,3.39,0.91,4.3,94.95057492,278.16
2012,micro-38,26,12-Jun,1-LI1,0-10cm,LowN,IntWheatgrass,1,41.122,154.911,160.972,0,3.311,5.536,5.311,10.3,3.28,0.11,3.39,77.48684097,292.56
2012,micro-39,41,12-Jun,1-HI1,0-10cm,HighN,IntWheatgrass,1,38.514,117.246,144.649,0,3.425,4.544,1.707,10.5,5.25,1.18,6.43,34.88887028,322.06
2012,micro-40,56,12-Jun,1-OI2,0-10cm,Organic,IntWheatgrass,2,27.758,82.134,81.314,0.914,3.745,2.831,5.79,6.3,3.01,0.9,3.91,59.18740831,306.66
2012,micro-41,71,12-Jun,1-LI2,0-10cm,LowN,IntWheatgrass,2,21.275,129.925,190.457,0.017,4.195,4.178,3.063,8.7,2.9,0.37,3.27,54.66791812,246.54
2012,micro-42,86,12-Jun,1-HI2,0-10cm,HighN,IntWheatgrass,2,22.351,59.211,52.809,0,3.446,5.634,2.827,6.4,3.08,0.35,3.43,66.644524,235.69
2012,micro-43,101,12-Jun,1-OI3,0-10cm,Organic,IntWheatgrass,3,48.349,110.063,166.278,0.435,4.131,3.696,42.085,8.8,3.64,0.31,3.95,82.12084669,227.22
2012,micro-44,116,12-Jun,1-LI3,0-10cm,LowN,IntWheatgrass,3,41.871,82.581,172.862,0,1.212,2.681,6.479,6.8,2.82,0.22,3.04,62.25649694,291.27
2012,micro-45,131,12-Jun,1-HI3,0-10cm,HighN,IntWheatgrass,3,44.586,149.891,186.857,0,2.738,3.399,5.95,6.9,3.26,0.69,3.95,28.78820253,290.52
2012,micro-46,146,12-Jun,1-OI4,0-10cm,Organic,IntWheatgrass,4,56.355,95.331,238.394,0.191,1.773,1.582,7.439,9.9,4.03,0.86,4.89,92.31015929,256.01
2012,micro-47,161,12-Jun,1-LI4,0-10cm,LowN,IntWheatgrass,4,48.295,193.517,310.238,1.217,6.326,5.109,4.525,8.3,5.78,0.87,6.65,82.3993634,277.32
2012,micro-48,176,12-Jun,1-HI4,0-10cm,HighN,IntWheatgrass,4,38.654,165.456,283.627,5.784,2.689,0,6.04,6.8,4.96,0.64,5.6,54.68213244,286.47
2013,micro-49,1,13-Jun,1-OA1,0-10cm,Organic,Annual,1,104.388,231.73,481.386,0,0,0,.,13.559,0.9,0.15,1.05,118.9265146,275.6
2013,micro-50,11,13-Jun,1-LA1,0-10cm,LowN,Annual,1,78.679,242.471,703.445,1.041,5.279,4.238,.,11.161,1.23,0.12,1.35,97.74418911,255
2013,micro-51,21,13-Jun,1-HA1,0-10cm,HighN,Annual,1,90.257,236.208,608.841,0.028,8.024,7.996,18.583,11.991,0.82,0.18,1,87.80410208,283.8
2013,micro-52,31,13-Jun,1-OA2,0-10cm,Organic,Annual,2,103.761,238.156,604.183,0,5.335,5.335,32.186,.,0.82,0.12,0.94,67.99164879,214.3
2013,micro-53,41,13-Jun,1-LA2,0-10cm,LowN,Annual,2,72.04757772,153.392005,487.375509,0,3.324691559,3.324691559,11.71208713,12.466,0.76,0.11,0.87,68.12749624,222.9
2013,micro-54,51,13-Jun,1-HA2,0-10cm,HighN,Annual,2,.,49.11226359,556.8439852,0,7.26216795,7.26216795,9.776820882,10.386,0.96,0.36,1.32,52.23748627,194
2013,micro-55,61,13-Jun,1-OA3,0-10cm,Organic,Annual,3,60.28132677,214.9838139,602.9132441,0,7.61103406,7.61103406,45.70358079,12.397,0.83,0.09,0.91,70.8276714,275.4
2013,micro-56,71,13-Jun,1-LA3,0-10cm,LowN,Annual,3,82.58897858,197.4335755,668.9028286,0,5.649643309,5.649643309,20.47046968,9.209,0.81,0.06,0.87,49.85786106,192.6
2013,micro-57,81,13-Jun,1-HA3,0-10cm,HighN,Annual,3,45.93892982,169.8411673,543.4023293,0,5.07597142,5.07597142,26.23715793,7.951,0.91,0.17,1.08,35.93310015,169.1
2013,micro-58,91,13-Jun,1-OA4,0-10cm,Organic,Annual,4,123.4948758,285.8488742,649.9347686,0,1.544497083,1.544497083,59.44183317,13.939,0.87,0.06,0.93,101.568127,383.5
2013,micro-59,101,13-Jun,1-LA4,0-10cm,LowN,Annual,4,127.1710487,267.4228961,637.2381881,0,3.773958642,3.773958642,25.13610998,11.774,1.58,0.39,1.97,57.47708174,349.6
2013,micro-60,111,13-Jun,1-HA4,0-10cm,HighN,Annual,4,92.6036543,228.0139274,661.1641788,1.186237945,7.87157858,6.685340635,18.84426651,10.522,0.56,0.09,0.64,43.32394694,339.6
2013,micro-61,6,13-Jun,1-OI1,0-10cm,Organic,IntWheatgrass,1,76.227,217.458,557.707,0,3.198,3.198,.,21.758,0.98,0.07,1.05,109.5592027,251
2013,micro-62,16,13-Jun,1-LI1,0-10cm,LowN,IntWheatgrass,1,62.378,168.946,355.593,0,7.553,7.553,3.715,11.601,0.66,0.08,0.74,86.31937185,246.1
2013,micro-63,26,13-Jun,1-HI1,0-10cm,HighN,IntWheatgrass,1,77.899,259.346,645.638,1.175,4.87,3.695,12.269,10.737,0.82,0.06,0.88,6.653231584,271.5
2013,micro-64,36,13-Jun,1-OI2,0-10cm,Organic,IntWheatgrass,2,.,.,.,.,.,.,.,8.852,0.76,0.08,0.84,95.64020402,262
2013,micro-65,46,13-Jun,1-LI2,0-10cm,LowN,IntWheatgrass,2,83.25708614,209.04498,662.0975054,0.440777577,6.131112525,5.690334948,11.45459506,12.695,0.7,0.07,0.77,61.48091124,253.4
2013,micro-66,56,13-Jun,1-HI2,0-10cm,HighN,IntWheatgrass,2,87.29704688,314.6923243,613.3908974,0,4.73221571,4.73221571,27.70425725,8.459,0.76,0.09,0.85,63.0166501,231
2013,micro-67,66,13-Jun,1-OI3,0-10cm,Organic,IntWheatgrass,3,65.80677131,190.7782877,440.1300547,0,5.454932629,5.454932629,25.61030651,9.783,0.82,0.08,0.89,18.48581453,222.3
2013,micro-68,76,13-Jun,1-LI3,0-10cm,LowN,IntWheatgrass,3,68.46438365,165.3137575,602.2235254,0,4.648779858,4.648779858,12.71499723,9.505,0.81,0.11,0.92,57.41977657,267
2013,micro-69,86,13-Jun,1-HI3,0-10cm,HighN,IntWheatgrass,3,88.76764888,298.4166611,743.7932312,0,7.912081551,7.912081551,24.79511769,9.883,0.9,0.08,0.98,56.64708778,227.9
2013,micro-70,96,13-Jun,1-OI4,0-10cm,Organic,IntWheatgrass,4,89.60922917,258.1600837,580.7517008,0,.,.,28.15319813,4.905,0.69,0.05,0.73,86.69992408,371.5
2013,micro-71,106,13-Jun,1-LI4,0-10cm,LowN,IntWheatgrass,4,41.49555486,85.42689112,87.22388087,0,9.663240241,9.663240241,3.421627335,12.118,0.75,0.06,0.82,84.78226938,388.5
2013,micro-72,116,13-Jun,1-HI4,0-10cm,HighN,IntWheatgrass,4,161.944984,275.4236062,760.5523514,1.063328813,7.961826544,6.898497731,25.82303909,9.786,0.79,0.08,0.87,70.61603493,395
