Depth,Management,Plant,Year,Block,Monhysteridae,Monhysteridae ?,Panagrolaimus,Rhabditidae,Rhabditis,Dauerlarvae,Mesorhabditis,Diploscapter,Diplogasteridae,Acrobeles,Acrobeloides,Chiloplacus,Cephalobidae,Metacrolobus,Plectus,AnaPlectus,Wilsonema,Prismatolaimus,Alaimus,Aphelenchus,Aphelenchoides,Aprutides,Tylenchidae,Diphterophora,Tylencholaimus,Tylencholaimellus,Gracilacus,Paratylenchus,Pratylenchus,Meloigogyne,Mesocriconema,Hopolaimus,Tylenchorhynchus,Helicotylenchus,Paratrichodorus,Xiphinema,Chromadoridae,Achromadora,Dorylaimidae,Qudsianematidae,Thornematidae,Aporcelaimidae,Mesodorylaimus,Tripyla,Tripylina,Mylonchulus,Mononchus,Clarkus,Mononchidae,Granonchulus,Anatonchus,Discolaimus
0-10cm,Organic,Perennial,2013,III,4,1,3,0,2,18,0,0,0,0,46,0,0,1,7,0,0,1,1,4,4,0,128,2,1,0,0,0,19,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,0,1,5,0,0,0,0,0
0-10cm,LowN,Annual,2013,III,0,3,0,0,0,0,0,0,0,1,65,0,0,0,3,0,0,0,1,2,5,0,111,1,0,0,0,9,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
0-10cm,LowN,Perennial,2013,III,9,6,0,0,0,6,8,0,0,0,33,0,0,0,24,0,0,0,0,2,1,0,39,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,0,0,8,0,0,0,0,0
0-10cm,HighN,Annual,2013,III,0,0,0,0,0,0,0,0,0,4,41,0,0,1,0,2,0,1,4,5,35,0,46,0,0,0,0,27,38,2,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,1,2,0,0,0,0,0
0-10cm,HighN,Perennial,2013,III,7,27,3,0,0,0,0,0,0,1,79,0,0,0,23,7,0,11,1,5,5,0,65,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,1,20,0,0,0,0,0
0-10cm,Organic,Annual,2013,IV,10,0,0,0,0,23,2,0,0,0,58,0,0,0,2,0,0,0,0,25,1,0,49,7,1,1,0,6,55,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,2,4,0,0,0,0,0
0-10cm,Organic,Perennial,2013,IV,5,0,0,0,1,39,0,0,0,0,9,0,0,0,12,0,0,0,0,4,1,0,56,17,62,0,0,0,4,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,6,0,0,0,0,0
0-10cm,LowN,Annual,2013,IV,2,2,0,0,0,1,3,0,0,1,41,0,0,0,0,0,0,1,0,11,2,0,59,0,0,0,0,5,63,3,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,3,0,0,0,0,0
0-10cm,LowN,Perennial,2013,IV,10,1,0,0,0,0,2,0,0,0,72,0,0,0,37,0,0,1,0,5,6,0,73,7,4,0,0,4,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0
0-10cm,HighN,Annual,2013,IV,0,0,1,0,0,0,0,0,0,0,71,0,0,0,1,0,0,0,0,7,10,0,90,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0-10cm,HighN,Perennial,2013,IV,17,0,2,0,0,7,1,0,0,0,47,0,0,0,8,0,0,1,2,7,14,0,47,0,2,0,0,11,53,0,0,0,0,0,0,2,0,0,10,0,0,5,0,0,0,1,12,0,0,0,0,0
