Micro_ID,Field ID,Date,Sample,Depth,Management,Plant,Year,Block,Monhysteridae,Monhysteridae ?,Panagrolaimus,Rhabditidae,Rhabditis,Dauerlarvae,Mesorhabditis,Diploscapter,Diplogasteridae,Acrobeles,Acrobeloides,Chiloplacus,Cephalobidae,Metacrolobus,Plectus,AnaPlectus,Wilsonema,Prismatolaimus,Alaimus,Aphelenchus,Aphelenchoides,Aprutides,Tylenchidae,Diphterophora,Tylencholaimus,Tylencholaimellus,Gracilacus,Paratylenchus,Pratylenchus,Meloigogyne,Mesocriconema,Hopolaimus,Tylenchorhynchus,Helicotylenchus,Paratrichodorus,Xiphinema,Chromadoridae,Achromadora,Dorylaimidae,Qudsianematidae,Thornematidae,Aporcelaimidae,Mesodorylaimus,Tripyla,Tripylina,Mylonchulus,Mononchus,Clarkus,Mononchidae,Granonchulus,Anatonchus,Discolaimus
micro-25,1,12-Jun,1-OA1,0-10cm,Organic,Annual,2012,I,11,0,2,0,20,12,0,0,0,0,38,0,1,0,1,0,0,2,1,8,2,0,40,18,26,0,0,24,0,0,0,0,0,0,0,1,0,4,12,5,0,3,0,0,0,5,17,0,0,0,0,0
micro-26,16,12-Jun,1-LA1,0-10cm,LowN,Annual,2012,I,2,0,0,0,0,1,0,0,0,0,51,0,1,0,3,0,0,0,2,6,2,0,29,15,54,0,0,0,43,0,0,0,0,0,0,0,0,7,12,2,0,8,0,0,0,0,6,0,0,0,0,1
micro-27,31,12-Jun,1-HA1,0-10cm,HighN,Annual,2012,I,1,0,0,0,0,1,0,0,0,0,40,0,0,0,7,0,0,0,2,10,5,0,45,13,1,0,0,0,19,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,8,2,0,0,0,0,0
micro-28,46,12-Jun,1-OA2,0-10cm,Organic,Annual,2012,II,4,0,1,0,7,4,0,0,0,16,74,0,0,2,2,0,0,7,1,3,4,0,32,5,5,0,0,15,17,0,0,0,0,0,0,0,0,9,8,0,0,6,0,0,0,1,9,0,0,0,0,0
micro-29,61,12-Jun,1-LA2,0-10cm,LowN,Annual,2012,II,1,0,1,0,0,1,0,0,0,0,22,0,1,0,3,0,0,1,6,7,9,0,67,5,2,0,0,14,15,0,0,0,0,0,0,0,0,21,4,0,0,2,0,0,0,0,2,0,0,0,0,0
micro-30,76,12-Jun,1-HA2,0-10cm,HighN,Annual,2012,II,0,0,0,0,2,0,0,0,0,6,42,0,3,1,4,0,0,0,13,3,8,0,70,21,0,0,0,1,24,0,0,0,0,0,0,0,0,18,12,0,0,3,0,0,0,3,8,0,0,0,0,0
micro-31,91,12-Jun,1-OA3,0-10cm,Organic,Annual,2012,III,1,0,0,0,2,4,0,0,0,6,22,0,3,0,2,1,0,3,1,8,2,0,46,8,10,0,0,2,54,0,0,0,0,0,0,0,0,29,6,1,0,0,0,0,0,2,3,0,0,0,0,0
micro-32,106,12-Jun,1-LA3,0-10cm,LowN,Annual,2012,III,0,0,0,0,1,0,0,0,0,0,49,0,5,0,2,0,0,1,3,0,7,0,41,2,0,0,0,11,16,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,1,0,0,0,0,0
micro-33,121,12-Jun,1-HA3,0-10cm,HighN,Annual,2012,III,4,0,1,0,3,0,0,0,0,0,90,0,2,4,0,0,0,9,5,2,15,0,56,0,0,0,0,0,30,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,10,0,0,0,0,0
micro-34,136,12-Jun,1-OA4,0-10cm,Organic,Annual,2012,IV,6,0,1,0,2,26,0,0,0,0,44,0,0,0,1,0,0,1,4,4,1,0,49,17,1,0,0,2,22,0,0,0,0,0,0,0,0,1,6,1,0,3,0,0,0,0,4,0,0,0,0,0
micro-35,151,12-Jun,1-LA4,0-10cm,LowN,Annual,2012,IV,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
micro-36,166,12-Jun,1-HA4,0-10cm,HighN,Annual,2012,IV,5,0,3,0,11,1,0,0,0,0,22,0,0,0,25,0,0,2,3,3,3,0,56,1,4,0,0,1,29,0,0,0,0,0,0,4,0,5,3,0,0,2,0,0,0,0,2,0,0,0,0,0
micro-37,11,12-Jun,1-OI1,0-10cm,Organic,Perennial,2012,I,3,0,0,0,1,16,0,0,0,0,39,0,3,0,16,0,0,1,0,1,3,0,46,8,35,0,0,4,0,0,0,0,0,0,0,0,0,3,11,1,0,5,0,0,0,9,2,0,0,0,0,0
micro-38,26,12-Jun,1-LI1,0-10cm,LowN,Perennial,2012,I,1,0,0,0,1,1,0,0,0,0,19,0,4,0,2,0,0,0,2,1,4,0,61,2,45,0,0,5,4,0,0,0,0,0,0,0,0,4,16,0,0,13,0,0,0,0,5,0,0,0,0,0
micro-39,41,12-Jun,1-HI1,0-10cm,HighN,Perennial,2012,I,10,0,1,0,3,1,0,0,0,0,33,0,0,0,4,0,0,0,4,2,6,0,52,15,38,0,0,0,15,0,0,0,0,0,0,1,0,18,17,0,0,1,0,0,0,3,5,0,0,0,0,0
micro-40,56,12-Jun,1-OI2,0-10cm,Organic,Perennial,2012,II,1,0,2,0,3,0,0,0,0,8,13,0,6,0,11,0,0,10,4,0,0,0,62,11,1,0,0,0,4,0,0,0,0,0,0,1,0,39,37,0,0,15,0,0,0,3,0,0,0,0,0,0
micro-41,71,12-Jun,1-LI2,0-10cm,LowN,Perennial,2012,II,0,0,2,0,6,5,0,0,0,0,53,0,3,0,10,0,0,1,3,1,2,0,41,0,3,0,0,4,42,0,0,0,0,0,0,0,0,11,14,0,0,3,0,0,0,2,8,0,0,0,0,0
micro-42,86,12-Jun,1-HI2,0-10cm,HighN,Perennial,2012,II,6,0,5,0,2,0,0,0,0,1,37,0,0,0,6,0,0,1,5,0,8,0,48,17,1,0,0,4,22,0,0,0,0,0,0,0,0,23,11,1,0,1,0,0,0,1,2,0,0,0,0,0
micro-43,101,12-Jun,1-OI3,0-10cm,Organic,Perennial,2012,III,0,0,1,0,0,7,0,0,0,1,25,0,4,0,9,0,0,0,3,2,1,0,63,14,0,0,0,1,14,0,0,0,0,0,0,2,0,28,12,1,0,1,0,0,0,0,6,0,0,0,0,0
micro-44,116,12-Jun,1-LI3,0-10cm,LowN,Perennial,2012,III,3,0,0,0,1,0,0,0,0,0,18,0,0,1,8,0,0,2,2,2,3,0,33,2,4,0,0,0,2,0,0,0,0,0,0,0,0,25,7,5,0,0,0,0,0,0,1,0,0,0,0,0
micro-45,131,12-Jun,1-HI3,0-10cm,HighN,Perennial,2012,III,3,0,0,3,0,0,0,0,0,0,50,0,0,0,21,0,0,14,3,4,6,0,56,0,3,0,1,12,0,0,0,0,0,0,0,0,0,62,13,0,0,0,0,0,0,0,2,0,0,0,0,0
micro-46,146,12-Jun,1-OI4,0-10cm,Organic,Perennial,2012,IV,6,0,0,0,2,1,0,0,0,0,93,0,3,1,0,0,0,0,3,10,11,0,66,1,0,0,0,13,12,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
micro-47,161,12-Jun,1-LI4,0-10cm,LowN,Perennial,2012,IV,6,0,4,0,3,2,0,0,0,0,36,0,0,0,7,0,0,1,3,1,11,0,41,7,4,0,0,4,31,22,0,0,0,0,0,1,0,0,17,0,0,1,0,0,0,2,0,0,0,0,0,0
micro-48,176,12-Jun,1-HI4,0-10cm,HighN,Perennial,2012,IV,10,0,4,0,0,2,0,0,0,0,11,0,0,0,18,0,0,5,4,0,3,0,0,8,0,0,0,4,82,0,0,0,0,0,0,3,0,19,38,0,0,5,0,0,0,2,6,0,0,0,0,2
micro-49,1,13-Jun,1-OA1,0-10cm,Organic,Annual,2013,I,11,2,0,0,1,8,0,0,0,0,84,0,0,0,0,0,0,0,2,9,4,0,24,0,22,0,0,0,36,0,0,0,0,0,0,0,0,0,6,5,0,5,0,0,0,2,3,0,0,0,0,0
micro-50,11,13-Jun,1-LA1,0-10cm,LowN,Annual,2013,I,1,0,2,0,0,0,0,0,0,0,67,0,0,0,2,0,0,0,0,10,4,0,77,5,4,0,0,0,41,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,3,0,0,0,0,0
micro-51,21,13-Jun,1-HA1,0-10cm,HighN,Annual,2013,I,4,8,1,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,15,7,0,28,2,0,0,0,2,52,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,3,0,0,0,0,0
micro-52,31,13-Jun,1-OA2,0-10cm,Organic,Annual,2013,II,0,1,0,0,0,9,1,0,0,13,15,0,0,1,0,0,0,0,0,12,3,0,36,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,6,0,0,0,0,0
micro-53,41,13-Jun,1-LA2,0-10cm,LowN,Annual,2013,II,0,3,2,0,0,0,0,0,0,0,58,0,0,0,2,0,0,1,1,3,4,0,104,1,1,0,0,15,36,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
micro-54,51,13-Jun,1-HA2,0-10cm,HighN,Annual,2013,II,0,6,0,0,0,0,0,0,0,3,51,0,0,0,0,0,0,0,1,6,8,0,106,0,0,0,0,6,24,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
micro-55,61,13-Jun,1-OA3,0-10cm,Organic,Annual,2013,III,0,1,0,0,0,15,0,0,0,0,32,0,0,0,2,0,0,0,0,25,3,0,14,0,4,0,0,1,24,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,3,0,0,0,0,0
micro-56,71,13-Jun,1-LA3,0-10cm,LowN,Annual,2013,III,0,3,0,0,0,0,0,0,0,1,65,0,0,0,3,0,0,0,1,2,5,0,111,1,0,0,0,9,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
micro-57,81,13-Jun,1-HA3,0-10cm,HighN,Annual,2013,III,0,0,0,0,0,0,0,0,0,4,41,0,0,1,0,2,0,1,4,5,35,0,46,0,0,0,0,27,38,2,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,1,2,0,0,0,0,0
micro-58,91,13-Jun,1-OA4,0-10cm,Organic,Annual,2013,IV,10,0,0,0,0,23,2,0,0,0,58,0,0,0,2,0,0,0,0,25,1,0,49,7,1,1,0,6,55,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,2,4,0,0,0,0,0
micro-59,101,13-Jun,1-LA4,0-10cm,LowN,Annual,2013,IV,2,2,0,0,0,1,3,0,0,1,41,0,0,0,0,0,0,1,0,11,2,0,59,0,0,0,0,5,63,3,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,3,0,0,0,0,0
micro-60,111,13-Jun,1-HA4,0-10cm,HighN,Annual,2013,IV,0,0,1,0,0,0,0,0,0,0,71,0,0,0,1,0,0,0,0,7,10,0,90,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
micro-61,6,13-Jun,1-OI1,0-10cm,Organic,Perennial,2013,I,1,0,1,0,0,48,2,0,0,0,50,0,0,0,22,0,0,1,0,2,1,0,28,8,7,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,8,0,0,0,0,0
micro-62,16,13-Jun,1-LI1,0-10cm,LowN,Perennial,2013,I,12,2,0,0,0,0,0,0,0,0,88,0,0,0,5,0,0,1,0,2,44,0,0,2,46,0,0,2,5,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,11,0,0,0,0,0
micro-63,26,13-Jun,1-HI1,0-10cm,HighN,Perennial,2013,I,6,4,1,0,0,0,1,0,0,0,98,0,1,0,11,0,0,0,0,4,4,0,21,0,15,0,0,1,39,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,5,0,0,0,0,0
micro-64,36,13-Jun,1-OI2,0-10cm,Organic,Perennial,2013,II,26,5,0,0,5,53,0,0,0,9,43,0,0,0,13,0,0,0,3,1,0,0,100,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,3,0,1,0,0,5,0,0,0,0,0
micro-65,46,13-Jun,1-LI2,0-10cm,LowN,Perennial,2013,II,2,2,2,0,0,0,0,0,0,0,27,0,0,0,18,1,0,0,1,1,0,0,37,0,0,0,0,2,28,2,0,0,0,0,0,0,0,0,22,0,0,4,0,0,0,0,0,0,18,0,0,0
micro-66,56,13-Jun,1-HI2,0-10cm,HighN,Perennial,2013,II,6,1,2,0,0,0,0,0,0,1,60,0,0,0,9,0,0,1,1,5,5,0,56,6,0,0,0,0,40,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,4,0,0,0,0,0
micro-67,66,13-Jun,1-OI3,0-10cm,Organic,Perennial,2013,III,4,1,3,0,2,18,0,0,0,0,46,0,0,1,7,0,0,1,1,4,4,0,128,2,1,0,0,0,19,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,0,1,5,0,0,0,0,0
micro-68,76,13-Jun,1-LI3,0-10cm,LowN,Perennial,2013,III,9,6,0,0,0,6,8,0,0,0,33,0,0,0,24,0,0,0,0,2,1,0,39,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,0,0,8,0,0,0,0,0
micro-69,86,13-Jun,1-HI3,0-10cm,HighN,Perennial,2013,III,7,27,3,0,0,0,0,0,0,1,79,0,0,0,23,7,0,11,1,5,5,0,65,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,1,20,0,0,0,0,0
micro-70,96,13-Jun,1-OI4,0-10cm,Organic,Perennial,2013,IV,5,0,0,0,1,39,0,0,0,0,9,0,0,0,12,0,0,0,0,4,1,0,56,17,62,0,0,0,4,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,6,0,0,0,0,0
micro-71,106,13-Jun,1-LI4,0-10cm,LowN,Perennial,2013,IV,10,1,0,0,0,0,2,0,0,0,72,0,0,0,37,0,0,1,0,5,6,0,73,7,4,0,0,4,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0
micro-72,116,13-Jun,1-HI4,0-10cm,HighN,Perennial,2013,IV,17,0,2,0,0,7,1,0,0,0,47,0,0,0,8,0,0,1,2,7,14,0,47,0,2,0,0,11,53,0,0,0,0,0,0,2,0,0,10,0,0,5,0,0,0,1,12,0,0,0,0,0
