"","Year","Micro_ID","Field.ID","Date","Sample","Depth","Management","Plant","Block","richness","shannon","simp.even","J"
"PWESmicro_42",2012,"micro-42",86,"Jun-12","1-HI2","0-10cm","HighN","IntWheatgrass",2,7351,7.42178486634051,0.0564570200243837,0.833678392379454
"PWESmicro_43",2012,"micro-43",101,"Jun-12","1-OI3","0-10cm","Organic","IntWheatgrass",3,7541,7.45365099605119,0.0572451601361544,0.834864450387474
"PWESmicro_44",2012,"micro-44",116,"Jun-12","1-LI3","0-10cm","LowN","IntWheatgrass",3,7291,7.39973448362355,0.0568176037140321,0.831967523007326
"PWESmicro_45",2012,"micro-45",131,"Jun-12","1-HI3","0-10cm","HighN","IntWheatgrass",3,5824,7.24858659114746,0.0717661160923415,0.836095199901336
"PWESmicro_46",2012,"micro-46",146,"Jun-12","1-OI4","0-10cm","Organic","IntWheatgrass",4,5581,7.19361586548184,0.0721582040283735,0.833854470285984
"PWESmicro_47",2012,"micro-47",161,"Jun-12","1-LI4","0-10cm","LowN","IntWheatgrass",4,6071,7.28008382911144,0.0626452739377417,0.835723642924503
"PWESmicro_48",2012,"micro-48",176,"Jun-12","1-HI4","0-10cm","HighN","IntWheatgrass",4,6052,7.21221894811498,0.0614827078254929,0.828231107552253
"PWESmicro_49",2013,"micro-49",1,"Jun-13","1-OA1","0-10cm","Organic","Annual",1,6199,7.36162063218833,0.072466144311501,0.843064115817598
"PWESmicro_50",2013,"micro-50",11,"Jun-13","1-LA1","0-10cm","LowN","Annual",1,6797,7.35453826126067,0.0607190790051844,0.833461432548142
"PWESmicro_51",2013,"micro-51",21,"Jun-13","1-HA1","0-10cm","HighN","Annual",1,7328,7.38306910250416,0.0591637122720153,0.829621579254831
"PWESmicro_52",2013,"micro-52",31,"Jun-13","1-OA2","0-10cm","Organic","Annual",2,7534,7.44919376486547,0.0603985289546924,0.834452018661266
"PWESmicro_53",2013,"micro-53",41,"Jun-13","1-LA2","0-10cm","LowN","Annual",2,7344,7.42430432340265,0.060872596316228,0.834050668263584
"PWESmicro_54",2013,"micro-54",51,"Jun-13","1-HA2","0-10cm","HighN","Annual",2,7259,7.413585306016,0.0611174615893034,0.833937277953472
"PWESmicro_55",2013,"micro-55",61,"Jun-13","1-OA3","0-10cm","Organic","Annual",3,7371,7.39912998999083,0.058463991009847,0.830879984285724
"PWESmicro_56",2013,"micro-56",71,"Jun-13","1-LA3","0-10cm","LowN","Annual",3,7539,7.39612034659338,0.0562256713786263,0.828445205511465
"PWESmicro_57",2013,"micro-57",81,"Jun-13","1-HA3","0-10cm","HighN","Annual",3,5088,7.08679506927704,0.0596438980492484,0.830375762878658
"PWESmicro_58",2013,"micro-58",91,"Jun-13","1-OA4","0-10cm","Organic","Annual",4,6285,7.3390525407581,0.0669876529244094,0.839155300736762
"PWESmicro_59",2013,"micro-59",101,"Jun-13","1-LA4","0-10cm","LowN","Annual",4,5889,7.20136748162277,0.057097635288161,0.829586437932812
"PWESmicro_60",2013,"micro-60",111,"Jun-13","1-HA4","0-10cm","HighN","Annual",4,6026,7.2365132643163,0.0595832398868857,0.831432139652365
"PWESmicro_61",2013,"micro-61",6,"Jun-13","1-OI1","0-10cm","Organic","IntWheatgrass",1,7392,7.48234927316646,0.063869321724055,0.839956655009133
"PWESmicro_62",2013,"micro-62",16,"Jun-13","1-LI1","0-10cm","LowN","IntWheatgrass",1,6694,7.34594832419043,0.0632354647306909,0.833931266970093
"PWESmicro_63",2013,"micro-63",26,"Jun-13","1-HI1","0-10cm","HighN","IntWheatgrass",1,6717,7.40996406574763,0.067379730735699,0.840871029781043
"PWESmicro_64",2013,"micro-64",36,"Jun-13","1-OI2","0-10cm","Organic","IntWheatgrass",2,7493,7.56428958776074,0.0747471507468978,0.847863294099357
"PWESmicro_65",2013,"micro-65",46,"Jun-13","1-LI2","0-10cm","LowN","IntWheatgrass",2,6897,7.40575257648004,0.0627230768833959,0.837878335880654
"PWESmicro_66",2013,"micro-66",56,"Jun-13","1-HI2","0-10cm","HighN","IntWheatgrass",2,5966,7.21035718769617,0.05977889486772,0.829380674275171
"PWESmicro_67",2013,"micro-67",66,"Jun-13","1-OI3","0-10cm","Organic","IntWheatgrass",3,6103,7.32767071958706,0.069778933072025,0.840678992687115
"PWESmicro_68",2013,"micro-68",76,"Jun-13","1-LI3","0-10cm","LowN","IntWheatgrass",3,6654,7.39992776226792,0.064039963901281,0.840631196149679
"PWESmicro_69",2013,"micro-69",86,"Jun-13","1-HI3","0-10cm","HighN","IntWheatgrass",3,5888,7.19774938318809,0.0621856191600009,0.82918586293041
"PWESmicro_70",2013,"micro-70",96,"Jun-13","1-OI4","0-10cm","Organic","IntWheatgrass",4,6229,7.37552316020189,0.0708948818653795,0.84418943645196
"PWESmicro_71",2013,"micro-71",106,"Jun-13","1-LI4","0-10cm","LowN","IntWheatgrass",4,7335,7.50034874471589,0.0663886742487694,0.842709647534633
"PWESmicro_72",2013,"micro-72",116,"Jun-13","1-HI4","0-10cm","HighN","IntWheatgrass",4,6225,7.49193491647001,0.102408844875748,0.857576784236695
